Subject,Start date,Start time,End date,End time
N,11/06/2020,19:00:00,11/07/2020,07:00:00
N,11/07/2020,19:00:00,11/08/2020,07:00:00
N,11/08/2020,19:00:00,11/09/2020,07:00:00
R,11/11/2020,07:00:00,11/11/2020,19:00:00
R,11/12/2020,07:00:00,11/12/2020,19:00:00
N,11/16/2020,19:00:00,11/17/2020,07:00:00
N,11/17/2020,19:00:00,11/18/2020,07:00:00
R,11/20/2020,07:00:00,11/20/2020,19:00:00
R,11/21/2020,07:00:00,11/21/2020,19:00:00
R,11/22/2020,07:00:00,11/22/2020,19:00:00
N,11/25/2020,19:00:00,11/26/2020,07:00:00
N,11/26/2020,19:00:00,11/27/2020,07:00:00
R,12/07/2020,07:00:00,12/07/2020,19:00:00
R,12/08/2020,07:00:00,12/08/2020,19:00:00
N,12/11/2020,19:00:00,12/12/2020,07:00:00
N,12/12/2020,19:00:00,12/13/2020,07:00:00
N,12/13/2020,19:00:00,12/14/2020,07:00:00
R,12/16/2020,07:00:00,12/16/2020,19:00:00
R,12/17/2020,07:00:00,12/17/2020,19:00:00
N,12/21/2020,19:00:00,12/22/2020,07:00:00
N,12/22/2020,19:00:00,12/23/2020,07:00:00
R,12/25/2020,07:00:00,12/25/2020,19:00:00
R,12/26/2020,07:00:00,12/26/2020,19:00:00
R,12/27/2020,07:00:00,12/27/2020,19:00:00
N,12/30/2020,19:00:00,12/31/2020,07:00:00
