Subject,Start Date,Start Time,End Date,End Time
N,08/14/2021,07:00 PM,08/15/2021,07:00 AM
N,08/15/2021,07:00 PM,08/16/2021,07:00 AM
R,08/18/2021,07:00 AM,08/18/2021,07:00 PM
R,08/19/2021,07:00 AM,08/19/2021,07:00 PM
N,08/23/2021,07:00 PM,08/24/2021,07:00 AM
N,08/24/2021,07:00 PM,08/25/2021,07:00 AM
R,08/27/2021,07:00 AM,08/27/2021,07:00 PM
R,08/28/2021,07:00 AM,08/28/2021,07:00 PM
R,08/29/2021,07:00 AM,08/29/2021,07:00 PM
N,09/01/2021,07:00 PM,09/02/2021,07:00 AM
N,09/02/2021,07:00 PM,09/03/2021,07:00 AM
Z,09/07/2021,07:00 AM,09/07/2021,07:00 PM
Z,09/08/2021,07:00 AM,09/08/2021,07:00 PM
Z,09/09/2021,07:00 AM,09/09/2021,07:00 PM
R,09/13/2021,07:00 AM,09/13/2021,07:00 PM
R,09/14/2021,07:00 AM,09/14/2021,07:00 PM
N,09/17/2021,07:00 PM,09/18/2021,07:00 AM
N,09/18/2021,07:00 PM,09/19/2021,07:00 AM
N,09/19/2021,07:00 PM,09/20/2021,07:00 AM
R,09/22/2021,07:00 AM,09/22/2021,07:00 PM
R,09/23/2021,07:00 AM,09/23/2021,07:00 PM
N,09/27/2021,07:00 PM,09/28/2021,07:00 AM
N,09/28/2021,07:00 PM,09/29/2021,07:00 AM
R,10/01/2021,07:00 AM,10/01/2021,07:00 PM
R,10/02/2021,07:00 AM,10/02/2021,07:00 PM
R,10/03/2021,07:00 AM,10/03/2021,07:00 PM
N,10/06/2021,07:00 PM,10/07/2021,07:00 AM
N,10/07/2021,07:00 PM,10/08/2021,07:00 AM
Z,10/12/2021,07:00 AM,10/12/2021,07:00 PM
Z,10/13/2021,07:00 AM,10/13/2021,07:00 PM
Z,10/14/2021,07:00 AM,10/14/2021,07:00 PM
R,10/18/2021,07:00 AM,10/18/2021,07:00 PM
R,10/19/2021,07:00 AM,10/19/2021,07:00 PM
N,10/22/2021,07:00 PM,10/23/2021,07:00 AM
N,10/23/2021,07:00 PM,10/24/2021,07:00 AM
N,10/24/2021,07:00 PM,10/25/2021,07:00 AM
R,10/27/2021,07:00 AM,10/27/2021,07:00 PM
R,10/28/2021,07:00 AM,10/28/2021,07:00 PM
