Subject,Start Date,Start Time,End Date,End Time
N,01/01/2022,07:00 PM,01/02/2022,07:00 AM
N,01/02/2022,07:00 PM,01/03/2022,07:00 AM
R,01/05/2022,07:00 AM,01/05/2022,07:00 PM
R,01/06/2022,07:00 AM,01/06/2022,07:00 PM
N,01/10/2022,07:00 PM,01/11/2022,07:00 AM
N,01/11/2022,07:00 PM,01/12/2022,07:00 AM
R,01/14/2022,07:00 AM,01/14/2022,07:00 PM
R,01/15/2022,07:00 AM,01/15/2022,07:00 PM
R,01/16/2022,07:00 AM,01/16/2022,07:00 PM
N,01/19/2022,07:00 PM,01/20/2022,07:00 AM
N,01/20/2022,07:00 PM,01/21/2022,07:00 AM
Z,01/25/2022,07:00 AM,01/25/2022,07:00 PM
Z,01/26/2022,07:00 AM,01/26/2022,07:00 PM
Z,01/27/2022,07:00 AM,01/27/2022,07:00 PM
R,01/31/2022,07:00 AM,01/31/2022,07:00 PM
R,02/01/2022,07:00 AM,02/01/2022,07:00 PM
N,02/04/2022,07:00 PM,02/05/2022,07:00 AM
N,02/05/2022,07:00 PM,02/06/2022,07:00 AM
N,02/06/2022,07:00 PM,02/07/2022,07:00 AM
R,02/09/2022,07:00 AM,02/09/2022,07:00 PM
R,02/10/2022,07:00 AM,02/10/2022,07:00 PM
N,02/14/2022,07:00 PM,02/15/2022,07:00 AM
N,02/15/2022,07:00 PM,02/16/2022,07:00 AM
R,02/18/2022,07:00 AM,02/18/2022,07:00 PM
R,02/19/2022,07:00 AM,02/19/2022,07:00 PM
R,02/20/2022,07:00 AM,02/20/2022,07:00 PM
N,02/23/2022,07:00 PM,02/24/2022,07:00 AM
N,02/24/2022,07:00 PM,02/25/2022,07:00 AM
Z,03/01/2022,07:00 AM,03/01/2022,07:00 PM
Z,03/02/2022,07:00 AM,03/02/2022,07:00 PM
Z,03/03/2022,07:00 AM,03/03/2022,07:00 PM
R,03/07/2022,07:00 AM,03/07/2022,07:00 PM
R,03/08/2022,07:00 AM,03/08/2022,07:00 PM
N,03/11/2022,07:00 PM,03/12/2022,07:00 AM
N,03/12/2022,07:00 PM,03/13/2022,07:00 AM
N,03/13/2022,07:00 PM,03/14/2022,07:00 AM
R,03/16/2022,07:00 AM,03/16/2022,07:00 PM
R,03/17/2022,07:00 AM,03/17/2022,07:00 PM
N,03/21/2022,07:00 PM,03/22/2022,07:00 AM
N,03/22/2022,07:00 PM,03/23/2022,07:00 AM
R,03/25/2022,07:00 AM,03/25/2022,07:00 PM
R,03/26/2022,07:00 AM,03/26/2022,07:00 PM
R,03/27/2022,07:00 AM,03/27/2022,07:00 PM
N,03/30/2022,07:00 PM,03/31/2022,07:00 AM
N,03/31/2022,07:00 PM,04/01/2022,07:00 AM
Z,04/05/2022,07:00 AM,04/05/2022,07:00 PM
Z,04/06/2022,07:00 AM,04/06/2022,07:00 PM
Z,04/07/2022,07:00 AM,04/07/2022,07:00 PM
R,04/11/2022,07:00 AM,04/11/2022,07:00 PM
R,04/12/2022,07:00 AM,04/12/2022,07:00 PM
N,04/15/2022,07:00 PM,04/16/2022,07:00 AM
N,04/16/2022,07:00 PM,04/17/2022,07:00 AM
N,04/17/2022,07:00 PM,04/18/2022,07:00 AM
R,04/20/2022,07:00 AM,04/20/2022,07:00 PM
R,04/21/2022,07:00 AM,04/21/2022,07:00 PM
N,04/25/2022,07:00 PM,04/26/2022,07:00 AM
N,04/26/2022,07:00 PM,04/27/2022,07:00 AM
R,04/29/2022,07:00 AM,04/29/2022,07:00 PM
R,04/30/2022,07:00 AM,04/30/2022,07:00 PM
R,05/01/2022,07:00 AM,05/01/2022,07:00 PM
N,05/04/2022,07:00 PM,05/05/2022,07:00 AM
N,05/05/2022,07:00 PM,05/06/2022,07:00 AM
Z,05/10/2022,07:00 AM,05/10/2022,07:00 PM
Z,05/11/2022,07:00 AM,05/11/2022,07:00 PM
Z,05/12/2022,07:00 AM,05/12/2022,07:00 PM
R,05/16/2022,07:00 AM,05/16/2022,07:00 PM
R,05/17/2022,07:00 AM,05/17/2022,07:00 PM
N,05/20/2022,07:00 PM,05/21/2022,07:00 AM
N,05/21/2022,07:00 PM,05/22/2022,07:00 AM
N,05/22/2022,07:00 PM,05/23/2022,07:00 AM
R,05/25/2022,07:00 AM,05/25/2022,07:00 PM
R,05/26/2022,07:00 AM,05/26/2022,07:00 PM
N,05/30/2022,07:00 PM,05/31/2022,07:00 AM
N,05/31/2022,07:00 PM,06/01/2022,07:00 AM
R,06/03/2022,07:00 AM,06/03/2022,07:00 PM
R,06/04/2022,07:00 AM,06/04/2022,07:00 PM
R,06/05/2022,07:00 AM,06/05/2022,07:00 PM
N,06/08/2022,07:00 PM,06/09/2022,07:00 AM
N,06/09/2022,07:00 PM,06/10/2022,07:00 AM
Z,06/14/2022,07:00 AM,06/14/2022,07:00 PM
Z,06/15/2022,07:00 AM,06/15/2022,07:00 PM
Z,06/16/2022,07:00 AM,06/16/2022,07:00 PM
R,06/20/2022,07:00 AM,06/20/2022,07:00 PM
R,06/21/2022,07:00 AM,06/21/2022,07:00 PM
N,06/24/2022,07:00 PM,06/25/2022,07:00 AM
N,06/25/2022,07:00 PM,06/26/2022,07:00 AM
N,06/26/2022,07:00 PM,06/27/2022,07:00 AM
R,06/29/2022,07:00 AM,06/29/2022,07:00 PM
R,06/30/2022,07:00 AM,06/30/2022,07:00 PM
N,07/04/2022,07:00 PM,07/05/2022,07:00 AM
N,07/05/2022,07:00 PM,07/06/2022,07:00 AM
R,07/08/2022,07:00 AM,07/08/2022,07:00 PM
R,07/09/2022,07:00 AM,07/09/2022,07:00 PM
R,07/10/2022,07:00 AM,07/10/2022,07:00 PM
N,07/13/2022,07:00 PM,07/14/2022,07:00 AM
N,07/14/2022,07:00 PM,07/15/2022,07:00 AM
Z,07/19/2022,07:00 AM,07/19/2022,07:00 PM
Z,07/20/2022,07:00 AM,07/20/2022,07:00 PM
Z,07/21/2022,07:00 AM,07/21/2022,07:00 PM
R,07/25/2022,07:00 AM,07/25/2022,07:00 PM
R,07/26/2022,07:00 AM,07/26/2022,07:00 PM
N,07/29/2022,07:00 PM,07/30/2022,07:00 AM
N,07/30/2022,07:00 PM,07/31/2022,07:00 AM
N,07/31/2022,07:00 PM,08/01/2022,07:00 AM
R,08/03/2022,07:00 AM,08/03/2022,07:00 PM
R,08/04/2022,07:00 AM,08/04/2022,07:00 PM
N,08/08/2022,07:00 PM,08/09/2022,07:00 AM
N,08/09/2022,07:00 PM,08/10/2022,07:00 AM
R,08/12/2022,07:00 AM,08/12/2022,07:00 PM
R,08/13/2022,07:00 AM,08/13/2022,07:00 PM
R,08/14/2022,07:00 AM,08/14/2022,07:00 PM
N,08/17/2022,07:00 PM,08/18/2022,07:00 AM
N,08/18/2022,07:00 PM,08/19/2022,07:00 AM
Z,08/23/2022,07:00 AM,08/23/2022,07:00 PM
Z,08/24/2022,07:00 AM,08/24/2022,07:00 PM
Z,08/25/2022,07:00 AM,08/25/2022,07:00 PM
R,08/29/2022,07:00 AM,08/29/2022,07:00 PM
R,08/30/2022,07:00 AM,08/30/2022,07:00 PM
N,09/02/2022,07:00 PM,09/03/2022,07:00 AM
N,09/03/2022,07:00 PM,09/04/2022,07:00 AM
N,09/04/2022,07:00 PM,09/05/2022,07:00 AM
R,09/07/2022,07:00 AM,09/07/2022,07:00 PM
R,09/08/2022,07:00 AM,09/08/2022,07:00 PM
N,09/12/2022,07:00 PM,09/13/2022,07:00 AM
N,09/13/2022,07:00 PM,09/14/2022,07:00 AM
R,09/16/2022,07:00 AM,09/16/2022,07:00 PM
R,09/17/2022,07:00 AM,09/17/2022,07:00 PM
R,09/18/2022,07:00 AM,09/18/2022,07:00 PM
N,09/21/2022,07:00 PM,09/22/2022,07:00 AM
N,09/22/2022,07:00 PM,09/23/2022,07:00 AM
Z,09/27/2022,07:00 AM,09/27/2022,07:00 PM
Z,09/28/2022,07:00 AM,09/28/2022,07:00 PM
Z,09/29/2022,07:00 AM,09/29/2022,07:00 PM
R,10/03/2022,07:00 AM,10/03/2022,07:00 PM
R,10/04/2022,07:00 AM,10/04/2022,07:00 PM
N,10/07/2022,07:00 PM,10/08/2022,07:00 AM
N,10/08/2022,07:00 PM,10/09/2022,07:00 AM
N,10/09/2022,07:00 PM,10/10/2022,07:00 AM
R,10/12/2022,07:00 AM,10/12/2022,07:00 PM
R,10/13/2022,07:00 AM,10/13/2022,07:00 PM
N,10/17/2022,07:00 PM,10/18/2022,07:00 AM
N,10/18/2022,07:00 PM,10/19/2022,07:00 AM
R,10/21/2022,07:00 AM,10/21/2022,07:00 PM
R,10/22/2022,07:00 AM,10/22/2022,07:00 PM
R,10/23/2022,07:00 AM,10/23/2022,07:00 PM
N,10/26/2022,07:00 PM,10/27/2022,07:00 AM
N,10/27/2022,07:00 PM,10/28/2022,07:00 AM
Z,11/01/2022,07:00 AM,11/01/2022,07:00 PM
Z,11/02/2022,07:00 AM,11/02/2022,07:00 PM
Z,11/03/2022,07:00 AM,11/03/2022,07:00 PM
R,11/07/2022,07:00 AM,11/07/2022,07:00 PM
R,11/08/2022,07:00 AM,11/08/2022,07:00 PM
N,11/11/2022,07:00 PM,11/12/2022,07:00 AM
N,11/12/2022,07:00 PM,11/13/2022,07:00 AM
N,11/13/2022,07:00 PM,11/14/2022,07:00 AM
R,11/16/2022,07:00 AM,11/16/2022,07:00 PM
R,11/17/2022,07:00 AM,11/17/2022,07:00 PM
N,11/21/2022,07:00 PM,11/22/2022,07:00 AM
N,11/22/2022,07:00 PM,11/23/2022,07:00 AM
R,11/25/2022,07:00 AM,11/25/2022,07:00 PM
R,11/26/2022,07:00 AM,11/26/2022,07:00 PM
R,11/27/2022,07:00 AM,11/27/2022,07:00 PM
N,11/30/2022,07:00 PM,12/01/2022,07:00 AM
N,12/01/2022,07:00 PM,12/02/2022,07:00 AM
Z,12/06/2022,07:00 AM,12/06/2022,07:00 PM
Z,12/07/2022,07:00 AM,12/07/2022,07:00 PM
Z,12/08/2022,07:00 AM,12/08/2022,07:00 PM
R,12/12/2022,07:00 AM,12/12/2022,07:00 PM
R,12/13/2022,07:00 AM,12/13/2022,07:00 PM
N,12/16/2022,07:00 PM,12/17/2022,07:00 AM
N,12/17/2022,07:00 PM,12/18/2022,07:00 AM
N,12/18/2022,07:00 PM,12/19/2022,07:00 AM
R,12/21/2022,07:00 AM,12/21/2022,07:00 PM
R,12/22/2022,07:00 AM,12/22/2022,07:00 PM
N,12/26/2022,07:00 PM,12/27/2022,07:00 AM
N,12/27/2022,07:00 PM,12/28/2022,07:00 AM
R,12/30/2022,07:00 AM,12/30/2022,07:00 PM
R,12/31/2022,07:00 AM,12/31/2022,07:00 PM
